Full-Stack,Front-End,Back-End,Other-Development,Other-Tech,Creative-Design,Business-Marketing,Other-Occupation,portfolio,certifs,video,testims,jobs,hour_rate_clean,success_rate,rate_cat,hours_per_week,hours,earnings,num-occups,country,embedding_pca
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,68.0,35.0,0.96,2.0,1.0,314.2857142857143,11000.0,2.0,0.0,0.2491103578811673
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,25.0,0.95,2.0,0.0,714.0,875.0,2.0,0.0,0.5324218860509807
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,30.0,0.68,0.0,0.0,38.0,1200.0,2.0,0.0,-0.306873981978878
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,53.0,25.0,0.96,2.0,1.0,222.0,16000.0,1.0,0.0,3.555418307731111
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,50.0,1.0,3.0,2.0,1804.0,106000.0,1.0,0.0,0.9076743499802012
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,25.0,1.0,2.0,2.0,1162.0,19000.0,2.0,0.0,0.988091876136987
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,40.0,1.0,2.0,2.0,345.0,15000.0,2.0,0.0,-0.5608252706633928
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.0,20.0,0.95,2.0,1.0,114.0,12000.0,1.0,0.0,-2.708319799775575
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,15.0,1.0,2.0,2.0,788.0,8400.0,2.0,0.0,-1.1230081541412642
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,20.0,0.8,0.0,1.0,3.0,3300.0,1.0,0.0,4.106096092054886
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,30.0,1.0,2.0,1.0,144.0,5500.0,2.0,0.0,3.2288625184066837
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,39.0,1.0,3.0,2.0,5840.0,56000.0,2.0,0.0,3.0297202062683968
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,40.0,0.95,2.0,1.0,934.0,32000.0,1.0,0.0,4.002115838881115
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,24.0,40.0,1.0,2.0,2.0,204.0,15000.0,2.0,0.0,-0.2549527666428297
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,20.0,0.93,2.0,2.0,169.0,11000.0,1.0,0.0,1.9358408935476488
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,20.0,1.0,2.0,2.0,613.0,8000.0,1.0,0.0,0.2754954960544948
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,30.0,0.9478333333333332,0.0,2.0,62.0,3500.0,1.0,0.0,1.0778468428578665
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,30.0,1.0,2.0,1.0,448.0,12000.0,1.0,0.0,-0.3134687366073668
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,15.0,1.0,0.0,1.0,36.66666666666666,550.0,1.0,0.0,1.4357093708148163
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,219.0,30.0,1.0,0.0,0.0,587.0,12000.0,1.0,0.0,-0.6205081661002823
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,0.8255000000000003,0.0,1.0,3.0,52.0,1.0,0.0,1.93428216585947
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,20.0,1.0,2.0,2.0,764.0,14000.0,2.0,0.0,-0.8051906057629395
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.8525000000000001,0.0,2.0,31.0,162.0,1.0,0.0,3.050055067767675
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,30.0,0.89,0.0,1.0,5.0,2700.0,1.0,0.0,4.014456958314121
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.5,0.9558333333333334,1.0,1.0,60.24,753.0,1.0,0.0,-0.0969990088071476
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,30.0,1.0,2.0,1.0,1064.0,18000.0,1.0,0.0,0.1245756652592014
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,1.0,2.0,0.0,287.0,8200.0,1.0,0.0,0.4365682481505067
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,180.0,35.0,0.99,2.0,2.0,185.0,14000.0,2.0,0.0,-2.9300531346731176
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,20.0,1.0,2.0,2.0,162.0,4000.0,1.0,0.0,1.088853348762154
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,50.0,1.0,3.0,2.0,1425.0,5300.0,1.0,0.0,0.1659778498835455
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,40.0,0.97,2.0,2.0,161.0,26000.0,2.0,0.0,-1.3096260012572876
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,1.0,2.0,0.0,765.0,26000.0,1.0,0.0,2.026244084567437
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,34.0,18.0,0.91,0.0,2.0,175.0,6400.0,1.0,0.0,0.7990523422250696
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,0.73,0.0,2.0,22.0,745.0,2.0,0.0,-0.3107275941726635
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,30.0,1.0,2.0,1.0,1717.0,40000.0,2.0,0.0,-0.2458287096678166
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,185.0,50.0,1.0,3.0,2.0,5917.0,9250.0,1.0,0.0,0.703555424551029
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,42.0,30.0,1.0,2.0,2.0,59.0,14000.0,2.0,0.0,0.4294031499064348
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.8608333333333332,0.0,2.0,30.0,300.0,1.0,0.0,3.050632892927205
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,18.0,0.8539999999999996,0.0,1.0,59.0,1200.0,2.0,0.0,2.4381681309911696
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,30.0,1.0,3.0,1.0,1420.0,40000.0,1.0,0.0,0.6951689099418366
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,70.0,0.86,0.0,1.0,10.571428571428571,740.0,2.0,0.0,3.0479401106814774
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,35.0,1.0,2.0,1.0,925.0,1120.0,1.0,0.0,-2.520299850721867
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,49.0,0.97,3.0,0.0,5193.0,70000.0,1.0,0.0,0.6956415697589228
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,40.0,1.0,3.0,2.0,2831.0,65000.0,1.0,0.0,-0.1528655828953629
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,40.0,1.0,3.0,2.0,2797.0,65000.0,2.0,0.0,-1.3198663281034486
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,20.0,1.0,3.0,2.0,818.0,20000.0,1.0,0.0,-0.6753396134658247
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,1.0,2.0,2.0,37.0,3500.0,1.0,0.0,1.3667024688439111
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,26.0,35.0,1.0,0.0,1.0,108.57142857142856,3800.0,1.0,0.0,1.4886960555711073
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,50.0,1.0,3.0,2.0,2560.0,128000.0,2.0,0.0,0.536736218403749
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,10.0,0.95,0.0,0.0,1182.0,6900.0,2.0,0.0,0.7951018054447554
